price,sqft,beds,bath,laundry,pets,housing_type,parking,hood_district
6800,1600,2,2, in-unit, no pets, multi, protected,7
3500,550,1,1, in-unit, both, multi, protected,7
5100,1300,2,1, in-unit, both, multi, no parking,7
9000,3500,3,2.5, in-unit, no pets, multi, protected,7
3100,561,1,1, no laundry, both, multi, no parking,7
3800,800,2,1, on-site, cats, multi, protected,9
3100,750,1,1, in-unit, no pets, multi, protected,8
3000,650,1,1, on-site, both, multi, no parking,7
3000,650,1,1, on-site, both, multi, protected,7
3200,650,1,1, in-unit, cats, multi, protected,9
3100,650,1,1, on-site, both, multi, protected,7
15000,3500,4,3.5, in-unit, no pets, single, protected,1
3300,1525,2,1, on-site, no pets, single, no parking,2
5600,1307,2,2, in-unit, no pets, multi, protected,9
2345,500,1,1, no laundry, cats, multi, no parking,2
2700,850,2,1, no laundry, no pets, multi, protected,2
3700,800,1,1, on-site, both, multi, protected,7
3595,1205,3,2, on-site, no pets, multi, protected,1
4875,1708,2,3, in-unit, no pets, multi, no parking,9
5200,1417,2,1.5, in-unit, both, multi, protected,6
5200,1700,4,2, in-unit, both, multi, protected,6
1880,350,0,1, no laundry, no pets, multi, no parking,9
4350,950,2,1, in-unit, cats, multi, protected,8
2500,700,1,1, on-site, both, multi, protected,2
3184,704,1,1, in-unit, both, multi, protected,9
2705,509,0,1, in-unit, both, multi, protected,9
3581,922,2,2, in-unit, both, multi, protected,9
2610,694,1,1, in-unit, both, multi, protected,9
4900,1600,3,2.5, in-unit, both, multi, protected,9
4200,1500,3,2, in-unit, both, multi, no parking,9
3600,1100,2,1, on-site, both, multi, no parking,6
4200,1400,3,2, in-unit, both, multi, no parking,9
4500,1400,3,1, in-unit, both, multi, no parking,9
4200,1400,3,2, in-unit, both, multi, protected,9
4800,1000,2,2, in-unit, both, multi, no parking,6
5000,1400,3,2, in-unit, both, multi, protected,9
5000,1400,3,3.5, in-unit, both, multi, no parking,9
2900,725,1,1, on-site, both, multi, protected,6
1880,350,0,1, no laundry, no pets, multi, no parking,9
3995,908,2,1, in-unit, both, multi, protected,9
2200,630,1,1, no laundry, both, multi, no parking,5
2795,664,1,1, on-site, cats, multi, no parking,5
3300,900,1,1, on-site, no pets, multi, no parking,5
2995,810,2,1, on-site, cats, multi, no parking,5
1995,388,1,1, on-site, both, multi, no parking,8
2750,600,1,1, on-site, cats, multi, protected,5
5050,1500,2,2, in-unit, cats, multi, protected,7
3800,950,1,1, in-unit, no pets, multi, valet,9
2600,725,0,1, on-site, no pets, multi, no parking,6
3498,995,2,2, on-site, both, multi, off-street,5
2600,558,1,1, in-unit, no pets, multi, no parking,8
2950,606,1,1, in-unit, both, multi, no parking,6
2795,750,1,1, on-site, both, multi, protected,9
2195,1000,1,1, on-site, no pets, multi, protected,8
3815,683,1,1, in-unit, both, multi, protected,9
4050,830,1,1, in-unit, no pets, multi, valet,9
750,170,1,1, on-site, no pets, multi, no parking,10
2299,500,1,1, on-site, both, multi, no parking,9
3572,697,1,1, in-unit, both, multi, protected,9
2843,720,1,1, in-unit, both, multi, protected,9
3636,721,1,1, in-unit, both, multi, protected,9
3107,690,1,1, in-unit, both, multi, protected,9
2800,780,1,1, on-site, no pets, multi, no parking,7
3404,855,1,1, in-unit, both, multi, protected,9
2399,559,1,1, in-unit, no pets, multi, valet,9
3250,650,1,1, in-unit, both, multi, no parking,8
1948,500,0,1, in-unit, both, multi, no parking,8
1948,500,0,1, in-unit, both, multi, no parking,9
2600,800,1,1, in-unit, both, multi, protected,9
2600,650,1,1, no laundry, both, multi, no parking,9
3000,900,1,1, on-site, cats, multi, no parking,8
3300,757,1,1, in-unit, no pets, multi, protected,9
2500,600,1,1, on-site, no pets, multi, protected,4
2700,625,1,1, no laundry, no pets, multi, protected,7
3200,916,1,1, in-unit, no pets, multi, protected,9
3200,916,1,1, in-unit, dogs, multi, protected,9
2404,615,1,1, on-site, both, multi, off-street,5
2660,615,1,1, on-site, both, multi, off-street,5
2835,600,1,1, on-site, no pets, multi, no parking,8
2586,662,1,1, in-unit, both, multi, no parking,9
1820,516,0,1, in-unit, both, multi, no parking,9
2100,660,0,1, on-site, no pets, multi, no parking,9
3500,768,1,1, in-unit, dogs, multi, protected,9
3884,943,2,2, in-unit, both, multi, no parking,9
3750,1375,2,2, on-site, no pets, multi, protected,9
3750,1375,2,2, on-site, no pets, multi, protected,9
4390,1070,2,2, in-unit, no pets, multi, protected,9
4390,1070,2,2, in-unit, no pets, multi, protected,9
3000,750,1,1, on-site, no pets, multi, no parking,5
3188,737,1,1, in-unit, no pets, multi, protected,9
4499,1200,2,2, in-unit, no pets, single, protected,2
4800,1105,2,2, in-unit, no pets, multi, protected,7
3395,1162,2,2, in-unit, both, multi, off-street,9
2700,650,1,1, in-unit, no pets, multi, protected,9
2339,512,1,1, in-unit, both, multi, protected,9
2200,500,1,1, on-site, no pets, multi, no parking,8
2200,500,1,1, on-site, no pets, multi, protected,8
2095,600,1,1, on-site, no pets, multi, protected,9
1850,425,1,1, no laundry, cats, multi, no parking,8
1850,425,1,1, no laundry, cats, multi, no parking,8
2595,675,1,1, on-site, no pets, multi, protected,9
2600,750,1,1, on-site, no pets, multi, no parking,9
2450,650,1,1, on-site, cats, multi, protected,6
2350,600,1,1, on-site, cats, multi, protected,8
2950,700,1,1, on-site, both, multi, protected,9
3000,950,1,1, on-site, no pets, multi, protected,7
2589,1219,1,1, in-unit, both, multi, protected,10
2702,1101,1,2, on-site, both, multi, no parking,9
4500,1200,2,2, in-unit, no pets, multi, protected,9
3200,800,2,1, in-unit, cats, multi, no parking,9
2300,700,2,1, on-site, no pets, double, no parking,2
3490,500,2,1, in-unit, both, multi, no parking,5
3590,885,2,2, on-site, no pets, multi, protected,7
3588,995,2,2, in-unit, both, multi, protected,9
3663,1043,2,2, in-unit, both, multi, protected,9
3400,1100,2,1, on-site, no pets, multi, protected,9
4578,986,2,2, in-unit, both, multi, protected,9
3312,922,2,2, in-unit, both, multi, protected,9
3400,750,2,1, on-site, no pets, multi, no parking,6
2650,700,2,1, on-site, no pets, multi, no parking,8
3800,1400,2,2, on-site, dogs, multi, no parking,7
2685,970,2,2, in-unit, no pets, multi, protected,10
4999,1598,2,1, on-site, no pets, multi, protected,7
3700,900,2,1, in-unit, no pets, single, protected,2
2795,743,2,2, in-unit, both, multi, no parking,8
3200,800,2,1, on-site, no pets, multi, no parking,8
3000,800,2,1, on-site, no pets, multi, no parking,8
3250,900,2,1, no laundry, no pets, multi, protected,5
2800,675,2,1, no laundry, no pets, multi, no parking,8
2700,675,2,1, no laundry, no pets, multi, no parking,8
3795,1200,2,2, in-unit, both, multi, no parking,9
3950,1450,3,1, in-unit, both, multi, no parking,9
1691,232,0,1, on-site, no pets, multi, protected,9
1660,232,0,1, on-site, no pets, multi, protected,9
1690,233,0,1, on-site, no pets, multi, protected,9
1679,241,0,1, on-site, no pets, multi, protected,9
3000,810,1,1, in-unit, both, multi, protected,7
3999,1000,2,1, in-unit, no pets, multi, no parking,5
3600,800,2,2, on-site, both, multi, no parking,5
3700,930,2,2, in-unit, dogs, multi, protected,9
2500,900,2,1, on-site, no pets, double, no parking,10
2765,902,2,1.5, no laundry, no pets, multi, no parking,10
2850,900,2,1, no laundry, no pets, multi, no parking,8
2999,775,2,1, on-site, no pets, multi, protected,1
3900,950,2,2, on-site, both, multi, protected,9
6995,1473,2,2.5, in-unit, no pets, multi, no parking,8
3900,1254,2,1.5, in-unit, both, multi, protected,9
4500,1450,2,2, in-unit, both, multi, protected,8
5595,1150,2,2, in-unit, no pets, multi, protected,9
3000,860,2,1, no laundry, no pets, multi, no parking,2
3895,1000,2,1, on-site, no pets, multi, off-street,8
3999,1500,2,2, in-unit, no pets, multi, protected,9
4500,975,2,2, in-unit, no pets, multi, protected,7
3150,900,2,1, on-site, both, multi, no parking,9
3800,1200,2,1, on-site, no pets, multi, protected,8
3100,750,2,1, on-site, cats, multi, protected,4
3795,1050,2,1, on-site, no pets, multi, protected,5
2800,875,2,1, on-site, no pets, multi, protected,9
3100,1000,2,1, no laundry, no pets, multi, protected,2
3300,1000,2,1, on-site, no pets, multi, protected,7
2765,902,2,1.5, no laundry, no pets, multi, no parking,10
3250,1000,2,1, on-site, no pets, multi, no parking,2
3349,1400,3,1, on-site, no pets, multi, no parking,1
4750,1421,3,1.5, no laundry, both, multi, no parking,5
7195,1651,3,2, in-unit, both, multi, protected,5
4637,1108,3,2, no laundry, both, multi, protected,6
2999,2000,3,2, on-site, no pets, single, no parking,10
3699,1100,3,1, no laundry, both, multi, no parking,8
4950,1000,3,1.5, no laundry, no pets, multi, no parking,8
3200,950,3,1.5, in-unit, no pets, single, no parking,10
3800,1500,3,2, on-site, no pets, multi, no parking,7
3900,1200,3,1, on-site, no pets, multi, no parking,8
